CT_CARR_pierre_L2;Stone: Shallow Shaft Mining;PIERRE : Front de taille;;;;;;;;;;;;x;
CA_CARR_pierre_L2_desc;The construction of a shaft extending deep underground allows for more stone to be extracted in blocks and lifted to the surface by ingenious elevators and sturdy cranes.;L'intensification de l'extraction a formé cette paroi verticale ouverte dans ce flanc de plateau, permettant d'extraire de la pierre en gros bloc qui pourront donner une belle pierre de taille.;;;;;;;;;;;;x;
CT_CARR_pierre_L3;Stone: Extensive Shaft Mining;PIERRE : Grande Carrière;;;;;;;;;;;;x;
CA_CARR_pierre_L3_desc;The construction of an extensive tunnel network and the machinery needed to lift large blocks of stone to the surface have greatly increased productivity to supply the construction of fortifications and cathedrals, but also make mining much more dangerous and a few lives are claimed every year.;Ce site carrier fournit l'ensemble de la région en pierre de qualité qui sert notamment à l'édification de fortifications ou contructions telles les églises et cathédrales.;;;;;;;;;;;;x;
#MINE minerai sel(montagne + côteau + désert);;;;;;;;;;;;;;;x
CT_MINE_sel_L1;Salt: Brine Pits;SEL : Puits de Saumure;;;;;;;;;;;;x;
CT_MINE_sel_L2;Salt: Salt Furnace;SEL : Chaudière;;;;;;;;;;;;x;
CT_MINE_sel_L3;Salt: Salt Mine;SEL : Saline;;;;;;;;;;;;x;
CT_MINE_sel_L4;Salt: Expanded Salt Mines;SEL : Saline Fortifiée;;;;;;;;;;;;x;
CT_MINE_sel_L5;Salt: Major Salt Mines;SEL : Grande Saline;;;;;;;;;;;;x;
#MINE minerai or(désert);;;;;;;;;;;;;;;x
CT_MINE_or_L1;Gold: Open-cast Mine;OR : Mine sommaire;;;;;;;;;;;;;x
CT_MINE_or_L2;Gold: Shallow Shaft Mining;OR : Petite excavation;;;;;;;;;;;;;x
CT_MINE_or_L3;Gold: Extensive Shaft Mining;OR : Grande mine;;;;;;;;;;;;;x
#MINE minerai cuivre(désert);;;;;;;;;;;;;;;x
CT_MINE_cuivre_L1;Copper: Open-cast Mine;CUIVRE : Mine sommaire;;;;;;;;;;;;;x
CT_MINE_cuivre_L2;Copper: Shallow Shaft Mining;CUIVRE : Petite excavation;;;;;;;;;;;;;x
CT_MINE_cuivre_L3;Copper: Extensive Shaft Mining;CUIVRE : Grande mine;;;;;;;;;;;;;x
#FISH pêche (côtes);;;;;;;;;;;;;;;x
CT_FISH_peche_L1;Fishing: Fishing Piers;PECHE : Ponton;;;;;;;;;;;;x;
CT_FISH_peche_L1_desc;A small pier has been constructed to accommodate the emergence of a small fishing village. Some fish are caught here, but the waters are still teeming with wildlife and could yield even more were there more infrastructure to support local fishing.;Un ponton a été construit afin d'y accueillir quelques barques de pêcheurs.;;;;;;;;;;;;x;
CT_FISH_peche_L2;Fishing: Fishing Quay;PECHE : Quai;;;;;;;;;;;;x;
CT_FISH_peche_L2_desc;The pier has been renovated into a quay capable of accommodating a sizeable flotilla of small fishing craft. The yield has increased considerably and can easily feed the local populace and leave a surplus for the salting and smoking industries;Le ponton a été transformé en un quai et peut maintenant accueillir une flotille de pêche ramenant suffisamment de poissons tant pour nourrir la population locale qu'alimenter les activités de salage et fumage de la région.;;;;;;;;;;;;x;
CT_FISH_peche_L3;Fishing: Fishing Harbor;PECHE : Port;;;;;;;;;;;;x;
CT_FISH_peche_L3_desc;The quay has been expanded into a bustling harbor and the fishing industry is booming here.;C'est maintenant un port fourmillant d'activités et accueillant une pêche abondante qui est installé sur le site.;;;;;;;;;;;;x;
#VIN (coteaux);;;;;;;;;;;;;;x;
CT_chai_L1;Wine: Cultivated Vineyards;VIN : Chai Modeste;;;;;;;;;;;;x;
CT_chai_L2;Wine: Modest Winery;VIN : Chai Agrandi;;;;;;;;;;;;x;
CT_chai_L3;Wine: Expanded Winery;VIN : Grand Chai;;;;;;;;;;;;x;
CT_chai_L4;Wine: Reputable Winery;VIN : Chai Réputé;;;;;;;;;;;;x;
CT_chai_L5;Wine: Famed Winery;VIN : Chai de Haute Renommée;;;;;;;;;;;;x;
#BIERE;;;;;;;;;;;;;;x;
CT_brasserie_L1;Beer: Cultivated Hops;BIERE : Brasserie Modeste;;;;;;;;;;;;x;
CT_brasserie_L2;Beer: Modest Brewery;BIERE : Brasserie Agrandie;;;;;;;;;;;;x;
CT_brasserie_L3;Beer: Expanded Brewery;BIERE : Grande Brasserie;;;;;;;;;;;;x;
CT_brasserie_L4;Beer: Reputable Brewery;BIERE : Brasserie Réputée;;;;;;;;;;;;x;
CT_brasserie_L5;Beer: Famed Brewery;BIERE : Brasserie de Haute Renommée;;;;;;;;;;;;x;
#;x;x;;;;;;;;;;;;x
#;x;DEBUT AJOUT MOUCHI;;;;;;;;;;;;x
CT_AGRI_moulin_L1;Flour: Water-powered Mill;FARINE : Moulin à aubes;;;;;;;;;;;;x
CT_AGRI_moulin_L1_desc;A modest watermill placed along the bank of the river.;Un modeste moulin à eau placé le long de la rive.;;;;;;;;;;;;x
CT_AGRI_moulin_L2;Flour: Waterwheel Mill;FARINE : Moulin à noria;;;;;;;;;;;;x
CT_AGRI_moulin_L2_desc;The watermill makes use of a massive wheel which serves to turn the grindstone ;Le moulin à eau est ici doté d'une immense roue appelée noria, bien plus efficace.;;;;;;;;;;;;x
CT_AGRI_moulin_L3;Flour: Modest Urban Mill;FARINE : Grand moulin citadin;;;;;;;;;;;;x
CT_AGRI_moulin_L3_desc;The construction of a small canal to assure a regular flow of water to power the mill has increased its production.;L'installation au bord la rivière est ici alimentée par un petit canal dédié qui assure un débit régulier et ainsi une bien meilleure production.;;;;;;;;;;;;x
CT_AGRI_moulin_L4;Flour: Expanded Urban Mill;FARINE : Grands moulins urbains;;;;;;;;;;;;x
CT_AGRI_moulin_L4_desc;The recent installations have expanded the mill in size and capacity, allowing the mill to produce flour in large quantities.;Les installations ici sont de taille et produisent une bonne farine en quantité.;;;;;;;;;;;;x
CT_AGRI_moulin_L5;Flour: Great Urban Mill;FARINE: Grands moulins;;;;;;;;;;;;x
CT_AGRI_moulin_L5_desc;This massive mill makes use of multiple wheels, and dedicated canal, and a sizeable workforce to produce an extremely fine flour, used only in the best bakeries in the city.;Le batiments massif qui accueille les moulins est alimenté par un canal dédié et équipé de grandes roues. La farine produite est très fine et très blanche.\n Elle fait le bonheur des maîtres boulangers et la fierté de la cité.;;;;;;;;;;;;x
CT_AGRI_boulangerie_L1;Bread: Bakers' Shops;;;;;;;;;;;;;x
CT_AGRI_boulangerie_L1_desc;;;;;;;;;;;;;;x
CT_AGRI_boulangerie_L2;Bread: Baker's Street;;;;;;;;;;;;;x
CT_AGRI_boulangerie_L2_desc;;;;;;;;;;;;;;x
CT_AGRI_boulangerie_L3;Bread: Baker's Guild;;;;;;;;;;;;;x
CT_AGRI_boulangerie_L3_desc;;;;;;;;;;;;;;x
CT_ELEV_boucherie_L1;Beef: Butcher Shops;;;;;;;;;;;;;x
CT_ELEV_boucherie_L1_desc;;;;;;;;;;;;;;x
CT_ELEV_boucherie_L2;Beef: Slaughterhouse;;;;;;;;;;;;;x
CT_ELEV_boucherie_L2_desc;;;;;;;;;;;;;;x
CT_ELEV_boucherie_L3;Butchers' Guild;;;;;;;;;;;;;x
CT_ELEV_boucherie_L3_desc;;;;;;;;;;;;;;x
CT_FISH_fumoir_L1;Smoked Fish: Fishmongers' Shops;;;;;;;;;;;;;x
CT_FISH_fumoir_L1_desc;;;;;;;;;;;;;;x
CT_FISH_fumoir_L2;Smoked Fish: Communal Smokehouse;;;;;;;;;;;;;x
CT_FISH_fumoir_L2_desc;;;;;;;;;;;;;;x
CT_FISH_fumoir_L3;Smoked Fish: Fishmongers' Guild;;;;;;;;;;;;;x
CT_FISH_fumoir_L3_desc;;;;;;;;;;;;;;x
CT_tannerie_L1;Leather: Tanners' Shop;;;;;;;;;;;;;x
CT_tannerie_L1_desc;;;;;;;;;;;;;;x
CT_tannerie_L2;Leather: Modest Tannery;;;;;;;;;;;;;x
CT_tannerie_L2_desc;;;;;;;;;;;;;;x
CT_tannerie_L3;Leather: Expanded Tannery;;;;;;;;;;;;;x
CT_tannerie_L3_desc;;;;;;;;;;;;;;x
CT_tannerie_L4;Leather: Tanners' Commune;;;;;;;;;;;;;x
CT_tannerie_L4_desc;;;;;;;;;;;;;;x
CT_tannerie_L5;Leather: Tanners' Guild;;;;;;;;;;;;;x
CT_tannerie_L5_desc;;;;;;;;;;;;;;x
CT_scierie_L1;Lumber: Hydro-powered Sawmill;;;;;;;;;;;;;;x
CT_scierie_L1_desc;;;;;;;;;;;;;;x
CT_scierie_L2;Lumber: Water-wheeled Sawmill;;;;;;;;;;;;;x
CT_scierie_L2_desc;;;;;;;;;;;;;;x
CT_scierie_L3;Lumber: Carriage Sawmill;;;;;;;;;;;;;x
CT_scierie_L3_desc;;;;;;;;;;;;;;x
CT_scierie_L4;Lumber: Modest Lumber Mill;;;;;;;;;;;;;x
CT_scierie_L4_desc;;;;;;;;;;;;;;x
CT_scierie_L5;Lumber: Expanded Lumber Mill;;;;;;;;;;;;;x
CT_scierie_L5_desc;;;;;;;;;;;;;;x
CT_four_L1;Glass: Glaziers' Shops;;;;;;;;;;;;;x
CT_four_L1_desc;;;;;;;;;;;;;;x
CT_four_L2;Glass: Modest Glass Manufactory;;;;;;;;;;;;;x
CT_four_L2_desc;;;;;;;;;;;;;;x
CT_four_L3;Glass: Expanded Glass Manufactory;;;;;;;;;;;;;x
CT_four_L3_desc;;;;;;;;;;;;;;x
CT_four_L4;Glass: Forest Glass Manufactory;;;;;;;;;;;;;x
CT_four_L4_desc;;;;;;;;;;;;;;x
CT_four_L5;Glass: Glaziers' Guild;;;;;;;;;;;;;x
CT_four_L5_desc;;;;;;;;;;;;;;x
CT_pierre_taille_L1;Worked Stone: Stonemasons Lodge;;;;;;;;;;;;;x
CT_pierre_taille_L1_desc;;;;;;;;;;;;;;x
CT_pierre_taille_L2;Worked Stone: Banker Masons' Workshop;;;;;;;;;;;;;x
CT_pierre_taille_L2_desc;;;;;;;;;;;;;;x
CT_pierre_taille_L3;Worked Stone: Stonecarvers' Workshop;;;;;;;;;;;;;x
CT_pierre_taille_L3_desc;;;;;;;;;;;;;;x
CT_pierre_taille_L4;Worked Stone: Stonemasons' Guild;;;;;;;;;;;;;x
CT_pierre_taille_L4_desc;;;;;;;;;;;;;;x
CT_pierre_taille_L5;Worked Stone: Freemasons' Guild;;;;;;;;;;;;;x
CT_pierre_taille_L5_desc;;;;;;;;;;;;;;x
CT_sel_raffine_L1;Refined Salt: Salt Panning Workshops;;;;;;;;;;;;;x
CT_sel_raffine_L1_desc;;;;;;;;;;;;;;x
CT_sel_raffine_L2;Refined Salt: Modest Salt Refinery;;;;;;;;;;;;;x
CT_sel_raffine_L2_desc;;;;;;;;;;;;;;x
CT_sel_raffine_L3;Refined Salt: Expanded Salt Refinery;;;;;;;;;;;;;x
CT_sel_raffine_L3_desc;;;;;;;;;;;;;;x
CT_sel_raffine_L4;Refined Salt: Urban Salt Refinery;;;;;;;;;;;;;x
CT_sel_raffine_L4_desc;;;;;;;;;;;;;;x
CT_sel_raffine_L5;Refined Salt: Major Urban Refinery;;;;;;;;;;;;;x
CT_sel_raffine_L5_desc;;;;;;;;;;;;;;x
CT_saline_L1;Salt: Brine Pits;;;;;;;;;;;;;x
CT_saline_L1_desc;;;;;;;;;;;;;;x
CT_saline_L2;Salt: Salt Furnace;;;;;;;;;;;;;x
CT_saline_L2_desc;;;;;;;;;;;;;;x
CT_saline_L3;Salt: Modest Salt Mines;;;;;;;;;;;;;x
CT_saline_L3_desc;;;;;;;;;;;;;;x
CT_saline_L4;Salt: Expanded Salt Mines;;;;;;;;;;;;;x
CT_saline_L4_desc;;;;;;;;;;;;;;x
CT_saline_L5;Major Urban Salt Mines;;;;;;;;;;;;;x
CT_saline_L5_desc;;;;;;;;;;;;;;x
#;x;x;;;;;;;;;;;;x
#;x;FIN AJOUT MOUCHI;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x;
#;-Temples-;-Temples-;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x;
#FERME CEREALIERE (terres arables);;;;;;;;;;;;;;;x
TP_AGRI_cereale_L1;Cereals: Land Clearance;CEREALES : Plaine Défrichée;;;;;;;;;;;;x;
TP_AGRI_cereale_L1_desc;This land has been cleared and prepared for the large-scale cultivation of cereals.;Ce terrain a été défriché et devrait bientôt pouvoir produire des céréales.;;;;;;;;;;;x
TP_AGRI_cereale_L2;Cereals: Cultivated Fields;CEREALES : Champs Cultivés;;;;;;;;;;;;x;
CT_AGRI_cereale_L2_desc;This land supports the large-scale cultivation of multiple crops of cereals according to the rhythm of the seasons.;Ce terrain comporte maintenant plusieurs champs cultivés où se succèdent les assolements triennaux céréaliers au fil des saisons.;;;;;;;;;;;;x;
TP_AGRI_cereale_L3;Cereals: Farming Estates;CEREALES : Exploitation Agricole;;;;;;;;;;;;x;
CT_AGRI_cereale_L3_desc;The local communal government holds authority over multiple estates upon which laborers toil to cultivate a vast surplus of cereals.;Ce qui était naguère un tas de broussailles est maintenant une exploitation agricole où la culture de la céréale est menée de main de maître.;;;;;;;;;;;;x;
#FERME MARAICHERE (plaine);;;;;;;;;;;;;;;x
TP_AGRI_maraichage_L1;Vegetables: Vegetable Garden;MARAICHAGE : Potagers;;;;;;;;;;;;x;
TP_AGRI_maraichage_L2;Vegetables: Vegetable Farm;MARAICHAGE : Ferme Maraîchère;;;;;;;;;;;;x;
TP_AGRI_maraichage_L3;Vegetables: Crop Rotation;MARAICHAGE : Exploitation Maraîchère;;;;;;;;;;;;x;
#VIGNOBLE (côteau);;;;;;;;;;;;;;;x
TP_AGRI_vigne_L1;Vineyards: Parcelled Land;VIGNE : Parcelles;;;;;;;;;;;;x;
TP_AGRI_vigne_L2;Vineyards: Modest Vineyards;VIGNE : Petit Vignoble;;;;;;;;;;;;x;
TP_AGRI_vigne_L3;Vineyards: Expanded Vineyards;VIGNE : Grand Vignoble;;;;;;;;;;;;x;
#ELEVAGE ovin;;;;;;;;;;;;;;;x
TP_ELEV_ovin_L1;Cheese: Pasturages;BETAIL : Pâturages;;;;;;;;;;;;x;
TP_ELEV_ovin_L1a_desc;Putting sheep out to pasture on the vast grazing lands in this province forms the foundation of a stable economy, but land use is inefficient and there is more than enough land to support larger herds.;Un endroit propice à la consommation de l'herbe, un met de choix pour les ovins sous la houlette des bergers et bergères venant des hameaux alentours.;;;;;;;;;;;;x;
TP_ELEV_ovin_L2;Cheese: Enclosures;BETAIL : Enclos à ovins;;;;;;;;;;;;x;
TP_ELEV_ovin_L2a_desc;Enclosing sheep herds allows more efficient use of grazing lands as well as better protection from predators and rustlers.;Un ensemble d'enclos a été construit de manière à concentrer davantage la production ovine et en faciliter la surveillance.;;;;;;;;;;;;x;
TP_ELEV_ovin_L3;Cheese: Sheep Pens;BETAIL : Bergerie;;;;;;;;;;;;x;
TP_ELEV_ovin_L3a_desc;Keeping the sheep penned reduces the risk of losing them to theft or predators. The establishment of proper infrastructure for the breeding and cultivation of large herds of sheep has delivered significant returns.;La bergerie accueillent les ovins pour la nuit et permet la fabrication de fromages.;;;;;;;;;;;;x;
#CHARBON DE BOIS (foret);;;;;;;;;;;;;;;x
TP_BOIS_charbon_L1;Charcoal: Colliers' Huts;CHARBON DE BOIS : Charbonnière Improvisée;;;;;;;;;;;;x;
TP_BOIS_charbon_L2;Charcoal: Coal-firing Kilns;CHARBON DE BOIS : Charbonnière Permanente;;;;;;;;;;;;x;
TP_BOIS_charbon_L3;Charcoal: Seigneurial Kilns;CHARBON DE BOIS : Charbonnière Seigneuriale;;;;;;;;;;;;x;
#FISH pisciculture (terres);;;;;;;;;;;;;;;x
TP_FISH_pisci_L1;Freshwater Fish: Artificial Lake;PISCICULTURE : Élevage en Rivière;;;;;;;;;;;;x;
TP_FISH_pisci_L2;Freshwater Fish: Fish Farms;PISCICULTURE : Étang Aménagé;;;;;;;;;;;;x;
TP_FISH_pisci_L3;Freshwater Fish: Fishery;PISCICULTURE : Ferme Piscicole;;;;;;;;;;;;x;
#VIN;;;;;;;;;;;;;;;x
TP_chai_L1;Wine: Cultivated Vineyards;VIN : Chai Modeste;;;;;;;;;;;;x;
TP_chai_L2;Wine: Modest Winery;VIN : Chai Agrandi;;;;;;;;;;;;x;
TP_chai_L3;Wine: Expanded Winery;VIN : Grand Chai;;;;;;;;;;;;x;
TP_chai_L4;Wine: Reputable Winery;VIN : Chai Réputé;;;;;;;;;;;;x;
TP_chai_L5;Wine: Famed Winery;VIN : Chai de Haute Renommée;;;;;;;;;;;;x;
#BIERE;;;;;;;;;;;;;;x;
TP_brasserie_L1;Beer: Cultivated Hops;BIERE : Brasserie Modeste;;;;;;;;;;;;x;
TP_brasserie_L2;Beer: Modest Brewery;BIERE : Brasserie Agrandie;;;;;;;;;;;;x;
TP_brasserie_L3;Beer: Expanded Brewery;BIERE : Grande Brasserie;;;;;;;;;;;;x;
TP_brasserie_L4;Beer: Reputable Brewery;BIERE : Brasserie Réputée;;;;;;;;;;;;x;
TP_brasserie_L5;Beer: Famed Brewery;BIERE : Brasserie de Haute Renommée;;;;;;;;;;;;x;
#CIDRE;;;;;;;;;;;;;;;x
TP_presse_L1;Cider: Fruit Press;CIDRE : Pressoir;;;;;;;;;;;;x;
TP_presse_L2;Cider: Cider Mill;CIDRE : Grande Presse;;;;;;;;;;;;x;
TP_presse_L3;Cider: Brewery;CIDRE : Cidrerie;;;;;;;;;;;;x;
#PEAUX;;;;;;;;;;;;;;;x
CT_COMM_peaux_L1;Furs: Furrier's Workshop;PEAUX : Atelier du Pelletier;;;;;;;;;;;;x;
CT_COMM_peaux_L2;Furs: Fur Trader Stall;PEAUX : Petite Echoppe;;;;;;;;;;;;x;
CT_COMM_peaux_L3;Furs: Renowned Fur Merchant;PEAUX : Echoppe Renommée;;;;;;;;;;;;x;
#JOYAUX;;;;;;;;;;;;;;;x
CT_COMM_joyaux_L1;Jewelry: Jewellers' Workshop;JOYAUX : Atelier;;;;;;;;;;;;x;
CT_COMM_joyaux_L2;Jewelry: Luxury Trader Stall;JOYAUX : Petite Echoppe;;;;;;;;;;;;x;
CT_COMM_joyaux_L3;Jewelry: Renowned Luxury Merchant;JOYAUX : Echoppe Renommée;;;;;;;;;;;;x;
#EPICES;;;;;;;;;;;;;;;x
CT_COMM_epices_L1;Spices: Modest Spice Mercant;EPICES : Petit Etal;;;;;;;;;;;;x;
CT_COMM_epices_L2;Spices: Established Spice Merchant;EPICES : Boutique;;;;;;;;;;;;x;
CT_COMM_epices_L3;Spices: Eastern Trading Company;EPICES : Marchand;;;;;;;;;;;;x;
#;x;x;;;;;;;;;;;;x
#;x;DEBUT AJOUT MOUCHI;;;;;;;;;;;;x
TP_AGRI_moulin_L1;Flour: Water-powered Mill;FARINE : Moulin à aubes;;;;;;;;;;;;x
TP_AGRI_moulin_L1_desc;A modest watermill placed along the bank of the river.;Un modeste moulin à eau placé le long de la rive.;;;;;;;;;;;;x
TP_AGRI_moulin_L2;Flour: Waterwheel Mill;FARINE : Moulin à noria;;;;;;;;;;;;x
TP_AGRI_moulin_L2_desc;The watermill makes use of a massive wheel which serves to turn the grindstone ;Le moulin à eau est ici doté d'une immense roue appelée noria, bien plus efficace.;;;;;;;;;;;;x
TP_AGRI_moulin_L3;Flour: Communal Mill;FARINE : Grand moulin citadin;;;;;;;;;;;;x
TP_AGRI_moulin_L3_desc;The construction of a small canal to assure a regular flow of water to power the mill has increased its production.;L'installation au bord la rivière est ici alimentée par un petit canal dédié qui assure un débit régulier et ainsi une bien meilleure production.;;;;;;;;;;;;x
TP_AGRI_boulangerie_L1;Bread: Bakers' Shops;;;;;;;;;;;;;x
TP_AGRI_boulangerie_L1_desc;;;;;;;;;;;;;;x
TP_AGRI_boulangerie_L2;Bread: Baker's Street;;;;;;;;;;;;;x
TP_AGRI_boulangerie_L2_desc;;;;;;;;;;;;;;x
TP_AGRI_boulangerie_L3;Bread: Baker's Guild;;;;;;;;;;;;;x
TP_AGRI_boulangerie_L3_desc;;;;;;;;;;;;;;x
TP_FISH_fumoir_L1;Smoked Fish: Fishmongers' Shops;;;;;;;;;;;;;x
TP_FISH_fumoir_L1_desc;;;;;;;;;;;;;;x
TP_FISH_fumoir_L2;Smoked Fish: Communal Smokehouse;;;;;;;;;;;;;x
TP_FISH_fumoir_L2_desc;;;;;;;;;;;;;;x
TP_FISH_fumoir_L3;Smoked Fish: Fishmongers' Guild;;;;;;;;;;;;;x
TP_FISH_fumoir_L3_desc;;;;;;;;;;;;;;x
TP_four_L1;Glass: Glaziers' Shops;;;;;;;;;;;;;x
TP_four_L1_desc;;;;;;;;;;;;;;x
TP_four_L2;Glass: Modest Glass Manufactory;;;;;;;;;;;;;x
TP_four_L2_desc;;;;;;;;;;;;;;x
TP_four_L3;Glass: Expanded Glass Manufactory;;;;;;;;;;;;;x
TP_four_L3_desc;;;;;;;;;;;;;;x
#;x;x;;;;;;;;;;;;x
#;x;FIN AJOUT MOUCHI;;;;;;;;;;;;x
#NIVEAU COMMERCIAL;;;;;;;;;;;;;;x;
#COMPTOIR_L1;COMMERCIAL PLACE;PLACE COMMERCIALE;;;;;;;;;;;;;x
#COMPTOIR_L1_desc;;Cette ville est reliée à un itinéraire commmercial, qu'il s'agisse d'un comptoir patricien ou d'une route terrestre ou fluviale. Cette situation privilégiée permet un meilleur développement de nos infrastructures commerciales.;;;;;;;;;;;;;x
#COMPTOIR_L2;COMMERCIAL NODE;NOEUD DE COMMERCE;;;;;;;;;;;;;x
#COMPTOIR_L2_desc;Cette cité est située au croisement de deux itinéraires commerciaux. Il peut s'agir de comptoirs patriciens ou de routes terrestres ou fluviales. Cette situation privilégiée permet un meilleur développement de nos infrastructures commerciales.;Cette cité est située au croisement de deux itinéraires commerciaux. Il peut s'agir de comptoirs patriciens ou de routes terrestres ou fluviales. Cette situation privilégiée permet un meilleur développement de nos infrastructures commerciales.;;;;;;;;;;;;;x
#COMPTOIR_L3;COMMERCIAL CENTRE;CENTRE DE COMMERCE;;;;;;;;;;;;;x
#COMPTOIR_L3_desc;;Cette cité se trouve au carrefour de pas moins de trois routes commerciales. Il peut s'agir de comptoirs patriciens ou de routes terrestres ou fluviales. Cette situation privilégiée permet un meilleur développement de nos infrastructures commerciales.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x;
ca_town_1;Population: Hamlet;Hameau;;;;;;;;;;;;x
ca_town_1_desc;Requires §Y10§! buildings.;Requiert §Y10§! bâtiments au total.;;;;;;;;;;;;x
ca_town_2;Population: Village;Village;;;;;;;;;;;;x
ca_town_2_desc;Requires §Y15§! buildings.;Requiert §Y15§! bâtiments au total.;;;;;;;;;;;;x
ca_town_3;Population: Borough;Bourg;;;;;;;;;;;;x
ca_town_3_desc;Requires §Y20§! buildings.;Requiert §Y20§! bâtiments au total.;;;;;;;;;;;;x
ca_town_4;Population: Town;Ville;;;;;;;;;;;;x
ca_town_4_desc;Requires §Y25§! buildings.;Requiert §Y25§! bâtiments au total.;;;;;;;;;;;;x
ca_town_5;Population: City;Cité;;;;;;;;;;;;x
ca_town_5_desc;Requires §Y35§! buildings.;Requiert §Y35§! bâtiments au total;;;;;;;;;;;;x
CT_town_1;Population: Hamlet;Hameau;;;;;;;;;;;;x
CT_town_1_desc;Requires §Y10§! buildings.;Requiert §Y10§! bâtiments au total.;;;;;;;;;;;;x
CT_town_2;Population: Village;Village;;;;;;;;;;;;x
CT_town_2_desc;Requires §Y15§! buildings.;Requiert §Y15§! bâtiments au total.;;;;;;;;;;;;x
CT_town_3;Population: Borough;Bourg;;;;;;;;;;;;x
CT_town_3_desc;Requires §Y20§! buildings.;Requiert §Y20§! bâtiments au total.;;;;;;;;;;;;x
CT_town_4;Population: Town;Ville;;;;;;;;;;;;x
CT_town_4_desc;Requires §Y25§! buildings.;Requiert §Y25§! bâtiments au total.;;;;;;;;;;;;x
CT_town_5;Population: City;Cité;;;;;;;;;;;;x
ct_town_5_desc;Requires §Y30§! buildings.;Requiert §Y30§! bâtiments au total;;;;;;;;;;;;x
tp_town_1;Population: Hamlet;Hameau;;;;;;;;;;;;x
tp_town_1_desc;Requires §Y12§! buildings.;Requiert §Y12§! bâtiments au total.;;;;;;;;;;;;x
tp_town_2;Population: Village;Village;;;;;;;;;;;;x
tp_town_2_desc;Requires §Y17§! buildings.;Requiert §Y17§! bâtiments au total.;;;;;;;;;;;;x
tp_town_3;Population: Borough;Bourg;;;;;;;;;;;;x
tp_town_3_desc;Requires §Y22§! buildings.;Requiert §Y22§! bâtiments au total.;;;;;;;;;;;;x
tp_town_4;Population: Town;Ville;;;;;;;;;;;;x
tp_town_4_desc;Requires §Y26§! buildings.;Requiert §Y26§! bâtiments au total.;;;;;;;;;;;;x
tp_town_5;Population: City;Cité;;;;;;;;;;;;x
tp_town_5_desc;Requires §Y30§! buildings.;Requiert §Y30§! bâtiments au total;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
ca_cathedrale_01;Cathedral, Building site overture;Cathédrale, Ouverture du chantier;;;;;;;;;;;;x
cathedrale_01_desc;When constructing a cathedral one must make decisions;Pour construire la cathédrale il faut en prendre la §Ydécision§!;;;;;;;;;;;;x
ca_cathedrale_02;Cathedral, Foundations;Cathédrale, Fondations;;;;;;;;;;;;x
ca_cathedrale_03;Proto-Cathedral;Proto-Cathédrale;;;;;;;;;;;;x
ca_cathedrale_04;Cathedral, Portal;Cathédrale, Portail;;;;;;;;;;;;x
ca_cathedrale_05;Cathedral, Magnificent Nave;Cathédrale, Nef Magnifique;;;;;;;;;;;;x
ca_cathedrale_06;Cathedral, Transept;Cathédrale, Transept;;;;;;;;;;;;x
ca_cathedrale_07;Cathedral, Northern Tower;Cathédrale, Tour Nord;;;;;;;;;;;;x
ca_cathedrale_08;Cathedral, Southern Tower;Cathédrale, Tour du Midi;;;;;;;;;;;;x
ca_cathedrale_09;Cathedral, Rose Window;Cathédrale, Grande Rosace;;;;;;;;;;;;x
ca_cathedrale_10;Cathedral, Feudal Chapel;Cathédrale, Chapelle Seigneuriale;;;;;;;;;;;;x
ca_cathedrale_11;Cathedral, Celestial Spire;Cathédrale, Flèche Céleste;;;;;;;;;;;;x
ca_cathedrale_12;Cathedral;Cathédrale;;;;;;;;;;;;x
ca_cathedrale_12_desc;;Cette cathédrale est enfin parachevée et fait rayonner la toute puissance divine sur les terres environnantes et par la même occasion procure au seigneur local la gloire et le fruit de la taxation du détenteur d'un tel édifice où affluent pélerins et pécheurs en quête de salut.;;;;;;;;;;;;x
ca_loge;;Loge;;;;;;;;;;;;x
loge_desc;;La loge permet aux ouvriers de travailler plus efficacement l'hiver.\nElle permet également de former les ouvriers.;;;;;;;;;;;;x
ca_hotel_pelerins;;Auberge des pélerins;;;;;;;;;;;;x
hotel_pelerins_desc;;L'auberge permet d'accueillir davantage de pélerins;;;;;;;;;;;;x
ca_guilde_sculpteur;;Guilde de sculpteurs;;;;;;;;;;;;x
guilde_sculpteur_desc;;La guilde de sculpteurs est une véritable organisation de sculpteurs.\nElle permet de gérer une activité rentable au délà de la construction de monuments.;;;;;;;;;;;;x
ca_guilde_fresquiste;;Guilde de fresquistes;;;;;;;;;;;;x
guilde_fresquiste_desc;;La guilde de fresquistes est une véritable organisation de fresquistes.\nElle permet de gérer une activité rentable au délà de la construction de monuments.;;;;;;;;;;;;x
ca_guilde_verrier;;Guilde de verriers;;;;;;;;;;;;x
guilde_verrier_desc;;La guilde de verriers est une véritable organisation de verriers.\nElle permet de gérer une activité rentable au délà de la construction de monuments.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
ct_cathedrale_01;Cathedral, Building site overture;Cathédrale, Ouverture du chantier;;;;;;;;;;;;x
ct_cathedrale_02;Cathedral, Fundations;Cathédrale, Fondations;;;;;;;;;;;;x
