#;;x;;;;;;;;;;;;x
REC.0151;Confirmation relique;;;;;;;;;;;;;x
DESCREC.0151;;On nous a rapporté que la province de [From.Location.GetName] abrite une Sainte Relique répertoriée par l'Eglise Catholique. Cet objet revêt une grande importance pour les fidèles de cette religion. Elle peut faire l'objet d'un culte particulier voire donner lieu à des pélérinages.;;;;;;;;;;;;;x
TOOLTIPREC.2004C;;Une bonne compétence en §Ymartial§! serait préférable pour mener à bien le coup bas\n;;;;;;;;;;;;x
TOOLTIPREC.2004D;;Une bonne compétence en §Yconnaissance§! serait préférable pour mener à bien le coup bas\n;;;;;;;;;;;;x
REC.2004B;;Soudoyez certains membres du chantier;;;;;;;;;;;;x
REC.2004C;;Massacrez certains membres du chantier;;;;;;;;;;;;x
REC.2004D;;Effrayez certains membres du chantier avec des malédictions;;;;;;;;;;;;x
REC.20041;;Faire un coup bas;;;;;;;;;;;;x
DESCREC.20041;;Vous réflechissez à une manière de mettre des bâtons dans les roues (de construction) à un autre bâtisseur de cathédrale, en l'occurence à un voisin;;;;;;;;;;;;x
REC.20041B;;Faisons un coup bas à ce voisin;;;;;;;;;;;;x
EVTTOOLTIPREC.2004A;;Coup bas est un succès et reste anonyme;;;;;;;;;;;;x
EVTTOOLTIPREC.2004B;;Coup bas est un succès mais identité dévoilée;;;;;;;;;;;;x
EVTTOOLTIPREC.2004C;;Coup bas est un échec mais reste anonyme;;;;;;;;;;;;x
EVTTOOLTIPREC.2004D;;Coup bas est un échec et identité dévoilée;;;;;;;;;;;;x
REC.2009;;Compte-rendu du coup bas;;;;;;;;;;;;x
DESCREC.2009;;Le coup bas est un succès et mon nom n'a pas été divulgué.;;;;;;;;;;;;x
REC.2009A;;C'est une réussite totale;;;;;;;;;;;;x
REC.2010;;Compte-rendu du coup bas;;;;;;;;;;;;x
DESCREC.2010;;Le coup bas est un succès mais mon nom a été divulgué sous la torture.;;;;;;;;;;;;x
REC.2010A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
REC.2011;;Compte-rendu du coup bas;;;;;;;;;;;;x
DESCREC.2011;;Le coup bas est un échec mais mon nom n'a pas été divulgué.;;;;;;;;;;;;x
REC.2011A;;Au moins ces minables n'ont pas avoué;;;;;;;;;;;;x
REC.2012;;Compte-rendu du coup bas;;;;;;;;;;;;x
DESCREC.2012;;Le coup bas est un échec et mon nom a été divulgué sous la torture.;;;;;;;;;;;;x
REC.2012A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
REC.2013;;Réaction au coup bas dévoilé;;;;;;;;;;;;x
DESCREC.2013;;Un coup bas a été intenté contre la construction de ma cathédrale. \nAprès avoir soumis à la question, je connais le nom du coupable.;;;;;;;;;;;;x
REC.2013A;;Je vais lui rendre la monnaie de sa pièce;;;;;;;;;;;;x
REC.2013B;;Je lui pardonne, puisse Dieu en faire autant;;;;;;;;;;;;x
REC.2014;;Réaction au coup bas non dévoilé;;;;;;;;;;;;x
DESCREC.2014;;Un coup bas a été intenté contre la construction de ma cathédrale. \nJe n'ai pas réussi à connaître le nom du coupable.;;;;;;;;;;;;x
REC.2014A;;C'est surement ce voisin qui me fait de l'ombre avec sa cathédrale;;;;;;;;;;;;x
REC.2014B;;C'est surement ce co-vassal qui me fait de l'ombre avec sa cathédrale;;;;;;;;;;;;x
REC.2014C;;Je lui pardonne, puisse Dieu en faire autant;;;;;;;;;;;;x
DESCREC.2018;;Une relique qui m'est inutile se trouve sur mon domaine. \nJe pourrais la vendre, cela me serait plus utile.;;;;;;;;;;;;x
REC.2018A;;Vendre une relique inutile;;;;;;;;;;;;x
REC.2018B;;Garder la relique;;;;;;;;;;;;x
DESCREC.2019;;Pour batir une cathédrale, il me faut apparement une relique. \nJe dois en acheter une à fort prix à un marchand ou sinon payer seulement la moitié pour une relique mineure à mon vassal le prêtre si j'en trouve une avec lui dans sa crypte.;;;;;;;;;;;;x
REC.2019A;;Chercher dans la crypte une relique mineure avec ce prêtre;;;;;;;;;;;;x
TOOLTIPREC.2019A;;J'espère que cela ne sera pas trop ennuyeux;;;;;;;;;;;;x
REC.2019B;;Acheter cette relique authentifiée par Rome au marchand;;;;;;;;;;;;x
TOOLTIPREC.2019B;;Je vais mettre cette relique sur une province de mon domaine\n;;;;;;;;;;;;x
REC.2019C;;Acheter cette relique d'origine forte douteuse au marchand;;;;;;;;;;;;x
TOOLTIPREC.2019C;;Je vais mettre cette relique sur une province de mon domaine. \nEspérons qu'elle ne pose pas de problème par la suite.\n;;;;;;;;;;;;x
DESCREC.2021;;Après une journée passée dans la crypte, j'ai réussi avec le prêtre à mettre la main sur une relique mineure. \nComme convenu je m'en suis emparé pour la grâce de Dieu pour la modique somme de 50 ducats.;;;;;;;;;;;;x
REC.2021A;;Je vais pouvoir construire une cathédrale;;;;;;;;;;;;x
DESCREC.2022;;Cette journée passée dans la crypte avec le prêtre fut horrible. \nNon seulement je n'ai pas pu mettre la main sur une relique mais en plus le prêtre était de forte mauvaise compagnie.\n;;;;;;;;;;;;x
REC.2022A;;Je dois cherchez une relique ailleurs;;;;;;;;;;;;x
TOOLTIPREC.2022A;;Je vais voir avec un autre prêtre ou le marchand\n;;;;;;;;;;;;x
DESCREC.2023;;Un cardinal, envoyé par Rome pour authentifié ma relique livre ses conclusions. \nIl s'avère que celle-ci est fausse. \nJ'échappe de peu à l'excommunication.;;;;;;;;;;;;x
REC.2023A;;La fausse relique a fait un vrai miracle.;;;;;;;;;;;;x
DESCREC.2025;;Vous avez construit l'une des premières cathédrales au monde.;;;;;;;;;;;;x
REC.2025A;;J'ai construit la 1ère;;;;;;;;;;;;x
REC.2025B;;J'ai construit la 2ème;;;;;;;;;;;;x
REC.2025C;;J'ai construit la 3ème;;;;;;;;;;;;x
REC.2025D;;J'ai construit la 4ème;;;;;;;;;;;;x
REC.2025E;;J'ai construit la 5ème;;;;;;;;;;;;x
REC.2025F;;J'ai construit la 6ème;;;;;;;;;;;;x
REC.2025G;;J'ai construit la 7ème;;;;;;;;;;;;x
REC.2025H;;J'ai construit la 8ème;;;;;;;;;;;;x
REC.2025I;;J'ai construit la 9ème;;;;;;;;;;;;x
REC.2025J;;J'ai construit la 10ème;;;;;;;;;;;;x
NAMEREC.2026;;Cathédrale construite;;;;;;;;;;;;x
DESCREC.2026;;On vient de finir de construire une cathédrale. \nDes bâtisseurs ont réussi à bâtir une impressionnante maison du Seigneur connue dans tout le monde Chrétien. Les généreux donnateurs de cet édifice iront directement au paradis. En attendant, sur Terre, ils deviennent des exemples;;;;;;;;;;;;x
REC.2026A;;C'est la 1ère;;;;;;;;;;;;x
REC.2026B;;C'est la 2ème;;;;;;;;;;;;x
REC.2026C;;C'est la 3ème;;;;;;;;;;;;x
REC.2026D;;C'est la 4ème;;;;;;;;;;;;x
REC.2026E;;C'est la 5ème;;;;;;;;;;;;x
REC.2026F;;C'est déjà la 6ème;;;;;;;;;;;;x
REC.2026G;;C'est déjà la 7ème;;;;;;;;;;;;x
REC.2026H;;C'est déjà la 8ème;;;;;;;;;;;;x
REC.2026I;;C'est déjà la 9ème;;;;;;;;;;;;x
REC.2026J;;C'est déjà la 10ème;;;;;;;;;;;;x
DESCREC.2101;;Un sculpteur s'est fait remarqué sur votre chantier. Ce qu'il peut faire avec la pierre est à couper le souffle.\n Il va peut-être vous demander audience afin de réaliser des œuvres grandioses.;;;;;;;;;;;;x
REC.2101A;;Je suis content qu'il soit sur mon chantier;;;;;;;;;;;;x
sculpteur_repere;;Un sculpeur apparaît dans votre cour;;;;;;;;;;;;x
DESCREC.2102;;Un sculpteur de votre cour vous sollicite pour financer la création d'une petite sculpture qui devrait être magnifique.;;;;;;;;;;;;x
REC.2102A;;Je vais financer ce chef d'œuvre;;;;;;;;;;;;x
EVTTOOLTIPREC.2102A;;Le sculpteur se met au travail;;;;;;;;;;;;x
REC.2102B;;Lui dire de repasser l'an prochain;;;;;;;;;;;;x
EVTTOOLTIPREC.2102B;;Le sculpteur s'en va et ne manquera pas de revenir;;;;;;;;;;;;x
REC.2102C;;Ce serai gaspiller de l'argent;;;;;;;;;;;;x
DESCREC.2104;;Votre sculpteur vous présente sa réalisation.\n Tous les gens autour de vous sont en émoi, même la brute du village se met à pleurer devant une telle beauté.;;;;;;;;;;;;x
REC.2104A;;J'aime sa sculpture;;;;;;;;;;;;x
DESCREC.2105;;Votre sculpteur vous présente sa réalisation.\n Les gens autour de vous sont partagés. Certains l'aiment mais d'autres trouvent qu'elle est somme toute banale.;;;;;;;;;;;;x
REC.2105A;;J'accepte la sculpture mais il devra refaire ses preuves.;;;;;;;;;;;;x
sculpteur_retour_base;;Le sculpteur va faire des travaux plus simple avant de revenir à la charge avec une nouvelle idée de chef d'œuvre.;;;;;;;;;;;;x
REC.2105B;;Je vais lui donner l'occasion de faire mieux;;;;;;;;;;;;x
REC.2105C;;Je ne veux plus qu'il sculpte d'œuvres;;;;;;;;;;;;x
DESCREC.2106;;Votre sculpteur vous présente sa réalisation.\n Tous les gens autour de vous sont effarés devant la laideur du résultat. Même l'aveugle du village trouve cela moche.;;;;;;;;;;;;x
REC.2106A;;Je vais lui donner l'occasion de faire mieux;;;;;;;;;;;;x
REC.2106B;;Je ne veux plus qu'il sculpte d'œuvres;;;;;;;;;;;;x
REC.2106C;;Qu'on l'emprisonne;;;;;;;;;;;;x
DESCREC.2107;;Un sculpteur de votre cour vous sollicite pour financer la création d'une sculpture de taille moyenne qui devrait être magnifique.;;;;;;;;;;;;x
DESCREC.2108;;Un sculpteur de votre cour vous sollicite pour financer la création d'une grande sculpture qui devrait être magnifique.;;;;;;;;;;;;x
DESCREC.2110;;Une rumeur d'un autre comté fait état d'une splendide sculpture réalisée pour une cathédrale.;;;;;;;;;;;;x
REC.2110A;;Envoyer un faux voyageur pour aller y voir de plus près.;;;;;;;;;;;;x
REC.2110B;;D'autres choses me préoccupent davantage pour le moment.;;;;;;;;;;;;x
REC.2110C;;Je n'ai que faire des sculptures.;;;;;;;;;;;;x
EVTTOOLTIPREC.2110A;;Le faux voyageur partira enqueter;;;;;;;;;;;;x
DESCREC.2111;;Le faux voyageur que vous avez envoyé il y a environ 2 ans est de retour.;;;;;;;;;;;;x
REC.2111A;;La rumeur était infondée, la sculpture n'a rien d'un chef d'œuvre.;;;;;;;;;;;;x
DESCREC.2113;;Le faux voyageur que vous avez envoyé il y a longtemps a pris contact avec le sculpteur ayant réalisé le chef d'œuvre.\n Quel ordre lui avez-vous transmis?;;;;;;;;;;;;x
REC.2113A;;Soudoyer des gens importants pour qu'il ne sculpte plus rien de bien.;;;;;;;;;;;;x
REC.2113B;;Soudoyer le sculpteur pour qu'il vienne sculpter pour vous.;;;;;;;;;;;;x
REC.2113C;;Tuer le sculpteur.;;;;;;;;;;;;x
REC.2113D;;Aucun, il ne va pas aller plus loin.;;;;;;;;;;;;x
DESCREC.2122;;Mon faux voyageur a réussi, le sculpteur ne sculptera plus rien de bien pour notre rival.\n De plus notre rival ignore qui est derrière tout cela;;;;;;;;;;;;x
REC.2122A;;Le subterfuge du faux voyageur a marché à merveille.;;;;;;;;;;;;x
DESCREC.2123;;Mon faux voyageur a réussi, le sculpteur ne sculptera plus rien de bien pour notre rival.\n Mais notre rival sait que l'on est derrière tout cela;;;;;;;;;;;;;x
REC.2123A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2124;;Mon faux voyageur a échoué, mais il n'a pas divulgué mon nom sous la torture.;;;;;;;;;;;;x
REC.2124A;;Au moins il n'a pas parlé;;;;;;;;;;;;x
DESCREC.2125;;Mon faux voyageur a échoué et il a pas divulgué mon nom sous la torture.;;;;;;;;;;;;x
REC.2125A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2126;;Mon faux voyageur a réussi, le sculpteur a rejoint ma cour et mon rival ignore où il est parti;;;;;;;;;;;;x
REC.2126A;;Le subterfuge du faux voyageur a marché à merveille.;;;;;;;;;;;;x
DESCREC.2127;;Mon faux voyageur a réussi, le sculpteur a rejoint ma cour mais mon rival sait qu'il est à ma cour;;;;;;;;;;;;x
REC.2127A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2128;;Mon faux voyageur a réussi, le sculpteur n'est plus et tout le monde ignore qui est derrière cela;;;;;;;;;;;;x
REC.2128A;;Le subterfuge du faux voyageur a marché à merveille.;;;;;;;;;;;;x
DESCREC.2129;;Mon faux voyageur a réussi, le sculpteur n'est plus mais le faux voyageur a divulgué mon nom sous la torture;;;;;;;;;;;;x
REC.2129A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2130;;Sous le règne de leur précédent seigneur, de nombreux sculpteurs se sont vus interdire de sculpter de coûteux chef d'œuvres. Voulez-vous les y autoriser de nouveau?;;;;;;;;;;;;x
REC.2130A;;Autoriser les sculpteurs à resculpter;;;;;;;;;;;;x
REC.2130B;;Ne pas les autoriser à resculpter;;;;;;;;;;;;x
DESCREC.2131;;Après la réalisation d'une immense sculpture de toute beauté, un maître sculpteur souhaite fonder une guilde de sculpteur.;;;;;;;;;;;;x
REC.2131A;;Bien sûr, j'en suis ravi;;;;;;;;;;;;x
REC.2131B;;Non, je ne veux plus voir de sculpteurs ici une fois la cathédrale finie;;;;;;;;;;;;x
DESCREC.2132;;A qui vais-je offrir une sculpture?;;;;;;;;;;;;x
REC.2132A;;A son chef religieux;;;;;;;;;;;;x
TOOLTIPRECAUCUNEFFET;;§RCela n'apportera aucun effet sur l'opinion§!;;;;;;;;;;;;x
REC.2132B;;A mon suzerain;;;;;;;;;;;;x
REC.2132C;;A un vassal;;;;;;;;;;;;x
TOOLTIPREC.2132C;;Vous pouvez dorénavant réfléchir à quel vassal offrir une sculpture.;;;;;;;;;;;;x
REC.2132D;;A un membre de ma famille;;;;;;;;;;;;x
TOOLTIPREC.2132D;;Vous pouvez dorénavant réfléchir à quel membre de votre famille offrir une sculpture.;;;;;;;;;;;;x
DESCREC.2133;;A quel rang de vassal vais-je offrir une sculpture?;;;;;;;;;;;;x
REC.2133A;;A un vassal Roi;;;;;;;;;;;;x
TOOLTIPREC.2133A;;Vous pouvez dorénavant réfléchir à quel vassal de rang Roi offrir une sculpture.;;;;;;;;;;;;x
REC.2133B;;A un vassal Duc;;;;;;;;;;;;x
TOOLTIPREC.2133B;;Vous pouvez dorénavant réfléchir à quel vassal de rang Duc offrir une sculpture.;;;;;;;;;;;;x
REC.2133C;;A un vassal Comte;;;;;;;;;;;;x
TOOLTIPREC.2133C;;Vous pouvez dorénavant réfléchir à quel vassal de rang Comte offrir une sculpture.;;;;;;;;;;;;x
REC.2133D;;A un vassal Baron;;;;;;;;;;;;x
TOOLTIPREC.2133D;;Vous pouvez dorénavant réfléchir à quel vassal de rang Baron offrir une sculpture.;;;;;;;;;;;;x
DESCREC.2134;;A quel vassal de ce rang vais-je offrir une sculpture?;;;;;;;;;;;;x
REC.2134A;;Offrir une sculpture à ce vassal;;;;;;;;;;;;x
TOOLTIPREC.2134A;;Ce vassal recevra ma sculpture;;;;;;;;;;;;x
REC.2134B;;Offrir une sculpture à un autre vassal;;;;;;;;;;;;x
TOOLTIPREC.2134B;;Ce vassal ne recevra pas ma sculpture;;;;;;;;;;;;x
REC.2134C;;Je n'ai pas d'autre vassal de ce rang;;;;;;;;;;;;x
DESCREC.2138;;A quel membre de ma famille vais-je offrir une sculpture?;;;;;;;;;;;;x
REC.2138A;;Offrir une sculpture à mon époux/épouse;;;;;;;;;;;;x
REC.2138B;;Offrir une sculpture à un enfant;;;;;;;;;;;;x
TOOLTIPREC.2138B;;Vous pouvez dorénavant réfléchir à quel enfant offrir une sculpture;;;;;;;;;;;;x
REC.2138C;;Offrir une sculpture à un frère ou une sœur;;;;;;;;;;;;x
REC.2138D;;Offrir une sculpture à sa mère;;;;;;;;;;;;x
DESCREC.2139;;A quel enfant vais-je offrir une sculpture?;;;;;;;;;;;;x
REC.2139A;;Offrir une sculpture à cet enfant;;;;;;;;;;;;x
TOOLTIPREC.2139A;;Cet enfant recevra ma sculpture;;;;;;;;;;;;x
REC.2139B;;Offrir une sculpture à un autre enfant;;;;;;;;;;;;x
TOOLTIPREC.2139B;;Cet enfant ne recevra pas ma sculpture;;;;;;;;;;;;x
REC.2139C;;Je n'ai pas d'autres enfants;;;;;;;;;;;;x
DESCREC.2140;;A quel frère ou sœur vais-je offrir une sculpture?;;;;;;;;;;;;x
REC.2140A;;Offrir une sculpture à ce frère ou cette sœur;;;;;;;;;;;;x
TOOLTIPREC.2140A;;Ce frère ou cette sœure recevra ma sculpture;;;;;;;;;;;;x
REC.2140B;;Offrir une sculpture à un autre frère ou sœur;;;;;;;;;;;;x
TOOLTIPREC.2140B;;Ce frère ou cette sœure ne recevra pas ma sculpture;;;;;;;;;;;;x
REC.2140C;;Je n'ai pas d'autre frère ou sœur;;;;;;;;;;;;x
DESCREC.2142;;En cherchant à qui offrir ma sculpture, personne ne correspond à mes critères.;;;;;;;;;;;;x
REC.2142A;;Je vais réfléchir à nouveau à qui l'offrir;;;;;;;;;;;;x
REC.2142B;;Finalement, je vais garder la sculpture pour moi;;;;;;;;;;;;x
DESCREC.2201;;Un fresquiste s'est fait remarqué sur votre chantier. Ce qu'il peut faire est à couper le souffle.\n Il va peut-être vous demander audience afin de réaliser des œuvres grandioses.;;;;;;;;;;;;x
REC.2201A;;Je suis content qu'il soit sur mon chantier;;;;;;;;;;;;x
fresquiste_repere;;Un fresquiste apparaît dans votre cour;;;;;;;;;;;;x
DESCREC.2202;;Un fresquiste de votre cour vous sollicite pour financer la création d'une petite fresque qui devrait être magnifique.;;;;;;;;;;;;x
REC.2202A;;Je vais financer ce chef d'œuvre;;;;;;;;;;;;x
EVTTOOLTIPREC.2202A;;Le fresquiste se met au travail;;;;;;;;;;;;x
REC.2202B;;Lui dire de repasser l'an prochain;;;;;;;;;;;;x
EVTTOOLTIPREC.2202B;;Le fresquiste s'en va et ne manquera pas de revenir;;;;;;;;;;;;x
REC.2202C;;Ce serai gaspiller de l'argent;;;;;;;;;;;;x
DESCREC.2204;;Votre fresquiste vous présente sa réalisation.\n Tous les gens autour de vous sont en émoi, même la brute du village se met à pleurer devant une telle beauté.;;;;;;;;;;;;x
REC.2204A;;J'aime sa fresque;;;;;;;;;;;;x
DESCREC.2205;;Votre fresquiste vous présente sa réalisation.\n Les gens autour de vous sont partagés. Certains l'aiment mais d'autres trouvent qu'elle est somme toute banale.;;;;;;;;;;;;x
REC.2205A;;J'accepte la fresque mais il devra refaire ses preuves.;;;;;;;;;;;;x
fresquiste_retour_base;;Le fresquiste va faire des travaux plus simple avant de revenir à la charge avec une nouvelle idée de chef d'œuvre.;;;;;;;;;;;;x
REC.2205B;;Je vais lui donner l'occasion de faire mieux;;;;;;;;;;;;x
REC.2205C;;Je ne veux plus qu'il fasse d'œuvres;;;;;;;;;;;;x
DESCREC.2206;;Votre fresquiste vous présente sa réalisation.\n Tous les gens autour de vous sont effarés devant la laideur du résultat. Même l'aveugle du village trouve cela moche.;;;;;;;;;;;;x
REC.2206A;;Je vais lui donner l'occasion de faire mieux;;;;;;;;;;;;x
REC.2206B;;Je ne veux plus qu'il fasse d'œuvres;;;;;;;;;;;;x
REC.2206C;;Qu'on l'emprisonne;;;;;;;;;;;;x
DESCREC.2207;;Un fresquiste de votre cour vous sollicite pour financer la création d'une fresque de taille moyenne qui devrait être magnifique.;;;;;;;;;;;;x
DESCREC.2208;;Un fresquiste de votre cour vous sollicite pour financer la création d'une grande fresque qui devrait être magnifique.;;;;;;;;;;;;x
DESCREC.2210;;Une rumeur d'un autre comté fait état d'une splendide fresque réalisée pour une cathédrale.;;;;;;;;;;;;x
REC.2210A;;Envoyer un faux voyageur pour aller y voir de plus près.;;;;;;;;;;;;x
REC.2210B;;D'autres choses me préoccupent davantage pour le moment.;;;;;;;;;;;;x
REC.2210C;;Je n'ai que faire des fresques.;;;;;;;;;;;;x
EVTTOOLTIPREC.2210A;;Le faux voyageur partira enqueter;;;;;;;;;;;;x
DESCREC.2211;;Le faux voyageur que vous avez envoyé il y a environ 2 ans est de retour.;;;;;;;;;;;;x
REC.2211A;;La rumeur était infondée, la fresque n'a rien d'un chef d'œuvre.;;;;;;;;;;;;x
DESCREC.2213;;Le faux voyageur que vous avez envoyé il y a longtemps a pris contact avec le fresquiste ayant réalisé le chef d'œuvre.\n Quel ordre lui avez-vous transmis?;;;;;;;;;;;;x
REC.2213A;;Soudoyer des gens importants pour qu'il ne fasse plus rien de bien.;;;;;;;;;;;;x
REC.2213B;;Soudoyer le fresquiste pour qu'il vienne faire des fresques pour vous.;;;;;;;;;;;;x
REC.2213C;;Tuer le fresquiste.;;;;;;;;;;;;x
REC.2213D;;Aucun, il ne va pas aller plus loin.;;;;;;;;;;;;x
DESCREC.2222;;Mon faux voyageur a réussi, le fresquiste ne fera plus rien de bien pour notre rival.\n De plus notre rival ignore qui est derrière tout cela;;;;;;;;;;;;x
REC.2222A;;Le subterfuge du faux voyageur a marché à merveille.;;;;;;;;;;;;x
DESCREC.2223;;Mon faux voyageur a réussi, le fresquiste ne fera plus rien de bien pour notre rival.\n Mais notre rival sait que l'on est derrière tout cela;;;;;;;;;;;;;x
REC.2223A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2224;;Mon faux voyageur a échoué, mais il n'a pas divulgué mon nom sous la torture.;;;;;;;;;;;;x
REC.2224A;;Au moins il n'a pas parlé;;;;;;;;;;;;x
DESCREC.2225;;Mon faux voyageur a échoué et il a pas divulgué mon nom sous la torture.;;;;;;;;;;;;x
REC.2225A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2226;;Mon faux voyageur a réussi, le fresquiste a rejoint ma cour et mon rival ignore où il est parti;;;;;;;;;;;;x
REC.2226A;;Le subterfuge du faux voyageur a marché à merveille.;;;;;;;;;;;;x
DESCREC.2227;;Mon faux voyageur a réussi, le fresquiste a rejoint ma cour mais mon rival sait qu'il est à ma cour;;;;;;;;;;;;x
REC.2227A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2228;;Mon faux voyageur a réussi, le fresquiste n'est plus et tout le monde ignore qui est derrière cela;;;;;;;;;;;;x
REC.2228A;;Le subterfuge du faux voyageur a marché à merveille.;;;;;;;;;;;;x
DESCREC.2229;;Mon faux voyageur a réussi, le fresquiste n'est plus mais le faux voyageur a divulgué mon nom sous la torture;;;;;;;;;;;;x
REC.2229A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
DESCREC.2230;;Sous le règne de leur précédent seigneur, de nombreux fresquistes se sont vus interdire de faire de coûteux chef d'œuvres. Voulez-vous les y autoriser de nouveau?;;;;;;;;;;;;x
REC.2230A;;Autoriser les fresquistes à faire des chef d'œuvres;;;;;;;;;;;;x
REC.2230B;;Ne pas les autoriser à faire des chef d'œuvres;;;;;;;;;;;;x
DESCREC.2231;;Après la réalisation d'une immense fresque de toute beauté, un maître fresquiste souhaite fonder une guilde de fresquiste.;;;;;;;;;;;;x
REC.2231A;;Bien sûr, j'en suis ravi;;;;;;;;;;;;x
REC.2231B;;Non, je ne veux plus voir de fresquistes ici une fois la cathédrale finie;;;;;;;;;;;;x
DESCREC.2232;;A qui vais-je offrir une fresque?;;;;;;;;;;;;x
REC.2232A;;A son chef religieux;;;;;;;;;;;;x
TOOLTIPRECAUCUNEFFET;;§RCela n'apportera aucun effet sur l'opinion§!;;;;;;;;;;;;x
REC.2232B;;A mon suzerain;;;;;;;;;;;;x
REC.2232C;;A un vassal;;;;;;;;;;;;x
TOOLTIPREC.2232C;;Vous pouvez dorénavant réfléchir à quel vassal offrir une fresque.;;;;;;;;;;;;x
REC.2232D;;A un membre de ma famille;;;;;;;;;;;;x
TOOLTIPREC.2232D;;Vous pouvez dorénavant réfléchir à quel membre de votre famille offrir une fresque.;;;;;;;;;;;;x
DESCREC.2233;;A quel rang de vassal vais-je offrir une fresque?;;;;;;;;;;;;x
REC.2233A;;A un vassal Roi;;;;;;;;;;;;x
TOOLTIPREC.2233A;;Vous pouvez dorénavant réfléchir à quel vassal de rang Roi offrir une fresque.;;;;;;;;;;;;x
REC.2233B;;A un vassal Duc;;;;;;;;;;;;x
TOOLTIPREC.2233B;;Vous pouvez dorénavant réfléchir à quel vassal de rang Duc offrir une fresque.;;;;;;;;;;;;x
REC.2233C;;A un vassal Comte;;;;;;;;;;;;x
TOOLTIPREC.2233C;;Vous pouvez dorénavant réfléchir à quel vassal de rang Comte offrir une fresque.;;;;;;;;;;;;x
REC.2233D;;A un vassal Baron;;;;;;;;;;;;x
TOOLTIPREC.2233D;;Vous pouvez dorénavant réfléchir à quel vassal de rang Baron offrir une fresque.;;;;;;;;;;;;x
DESCREC.2234;;A quel vassal de ce rang vais-je offrir une fresque?;;;;;;;;;;;;x
REC.2234A;;Offrir une fresque à ce vassal;;;;;;;;;;;;x
TOOLTIPREC.2234A;;Ce vassal recevra ma fresque;;;;;;;;;;;;x
REC.2234B;;Offrir une fresque à un autre vassal;;;;;;;;;;;;x
TOOLTIPREC.2234B;;Ce vassal ne recevra pas ma fresque;;;;;;;;;;;;x
REC.2234C;;Je n'ai pas d'autre vassal de ce rang;;;;;;;;;;;;x
DESCREC.2238;;A quel membre de ma famille vais-je offrir une fresque?;;;;;;;;;;;;x
REC.2238A;;Offrir une fresque à mon époux/épouse;;;;;;;;;;;;x
REC.2238B;;Offrir une fresque à un enfant;;;;;;;;;;;;x
TOOLTIPREC.2238B;;Vous pouvez dorénavant réfléchir à quel enfant offrir une fresque;;;;;;;;;;;;x
REC.2238C;;Offrir une fresque à un frère ou une sœur;;;;;;;;;;;;x
REC.2238D;;Offrir une fresque à sa mère;;;;;;;;;;;;x
DESCREC.2239;;A quel enfant vais-je offrir une fresque?;;;;;;;;;;;;x
REC.2239A;;Offrir une fresque à cet enfant;;;;;;;;;;;;x
TOOLTIPREC.2239A;;Cet enfant recevra ma fresque;;;;;;;;;;;;x
REC.2239B;;Offrir une fresque à un autre enfant;;;;;;;;;;;;x
TOOLTIPREC.2239B;;Cet enfant ne recevra pas ma fresque;;;;;;;;;;;;x
REC.2239C;;Je n'ai pas d'autres enfants;;;;;;;;;;;;x
DESCREC.2240;;A quel frère ou sœur vais-je offrir une fresque?;;;;;;;;;;;;x
REC.2240A;;Offrir une fresque à ce frère ou cette sœur;;;;;;;;;;;;x
TOOLTIPREC.2240A;;Ce frère ou cette sœure recevra ma fresque;;;;;;;;;;;;x
REC.2240B;;Offrir une fresque à un autre frère ou sœur;;;;;;;;;;;;x
TOOLTIPREC.2240B;;Ce frère ou cette sœure ne recevra pas ma fresque;;;;;;;;;;;;x
REC.2240C;;Je n'ai pas d'autre frère ou sœur;;;;;;;;;;;;x
DESCREC.2242;;En cherchant à qui offrir ma fresque, personne ne correspond à mes critères.;;;;;;;;;;;;x
REC.2242A;;Je vais réfléchir à nouveau à qui l'offrir;;;;;;;;;;;;x
REC.2242B;;Finalement, je vais garder la fresque pour moi;;;;;;;;;;;;x
DESCREC.2301;;Un verrier s'est fait remarqué sur votre chantier. Ce qu'il peut faire est à couper le souffle.\n Il va peut-être vous demander audience afin de réaliser des œuvres grandioses.;;;;;;;;;;;;x
REC.2301A;;Je suis content qu'il soit sur mon chantier;;;;;;;;;;;;x
verrier_repere;;Un verrier apparaît dans votre cour;;;;;;;;;;;;x
DESCREC.2302;;Un verrier de votre cour vous sollicite pour financer la création d'une petit vitrail qui devrait être magnifique.;;;;;;;;;;;;x
REC.2302A;;Je vais financer ce chef d'œuvre;;;;;;;;;;;;x
EVTTOOLTIPREC.2302A;;Le verrier se met au travail;;;;;;;;;;;;x
REC.2302B;;Lui dire de repasser l'an prochain;;;;;;;;;;;;x
